"item","taxon","description","origin"
194,"Aquilegia alpina (cf)","blue/pinkish-white 15-30cm 36","G"
195,"Aquilegia atrata","dark red-purple 30-60cm 54 147","G"
196,"Aquilegia bertolonii","blue-violet 20-30cm 31 178","G"
197,"Aquilegia bertolonii (aff)","blue-purple/white 30cm 16","G"
198,"Aquilegia buergeriana","yellow/brown-purple 30-80cm 145","G"
200,"Aquilegia buergeriana 'Calimero'","purple/yellow 15-20cm 6 40","G"
199,"Aquilegia buergeriana (dwarf form)","yellow/brown-purple 15-30cm >","G"
201,"Aquilegia canadensis","red/coral 45cm 113","G"
202,"Aquilegia canadensis","red/orange 45cm 179","G"
203,"Aquilegia canadensis","red/yellow 15-90cm >","G"
3027,"Aquilegia canadensis","red/yellow 20-45cm Massachusetts: Granby 48","W"
205,"Aquilegia canadensis 'Corbett'","pale yellow 30-45cm 6","G"
206,"Aquilegia canadensis 'Little Lanterns'","red/yellow to 25cm 31 118 124","G"
204,"Aquilegia canadensis (dwarf form)","orange/yellow 20-25cm 69","G"
207,"Aquilegia chrysantha","yellow 30-120cm 64 79","G"
208,"Aquilegia chrysantha 'Denver Gold'","yellow flr/blue-green lvs 75-90cm 156","G"
209,"Aquilegia chrysantha v hinckleyana","yellow 50-70cm 179","G"
3028,"Aquilegia coerulea","purple/white 20cm Colorado: Leadville 154","W"
210,"Aquilegia discolor","blue/white 10-20cm >","G"
211,"Aquilegia ecalcarata","purplish pink to 40cm 116","G"
212,"Aquilegia flabellata","blue/lilac 20-30cm 41 57 148","G"
213,"Aquilegia flabellata","blue/white 20-30cm 69 82","G"
214,"Aquilegia flabellata","pink/white 15cm 32","G"
215,"Aquilegia flabellata","white 20-30cm 40 69","G"
2111,"Aquilegia flabellata  Cameo Series","red/white 25cm 188","G"
216,"Aquilegia flabellata 'Cameo Blue & White'","blue/white 15-20cm 32","G"
217,"Aquilegia flabellata v pumila","blue/white 15cm >","G"
218,"Aquilegia flabellata v pumila","white 15-25cm 69","G"
3029,"Aquilegia formosa","red/yellow 30cm California: Northern Sierra Nevada, Plumas Co 1951m 175","W"
219,"Aquilegia grahamii","red/yellow 20-50cm 100","G"
220,"Aquilegia grahamii hybrids","20-25cm 77","G"
222,"Aquilegia oxysepala","purple/yellowish 40-80cm 19","G"
223,"Aquilegia rockii","black-purple 30cm 115","G"
224,"Aquilegia saximontana","blue/cream 5-25cm >","G"
225,"Aquilegia saximontana","purple 5-25cm 154","G"
226,"Aquilegia scopulorum","mix flr colors/blue-grey lvs 5-30cm >","G"
227,"Aquilegia scopulorum (cf)","soft blue/cream long-spurred flr/blue lvs 5","G"
228,"Aquilegia sp","blue 30cm 155","G"
229,"Aquilegia sp","clear blue 20cm 50","G"
230,"Aquilegia sp","double white 50-60cm 13","G"
231,"Aquilegia triternata","red/yellow 15-60cm 154","G"
232,"Aquilegia viridiflora","dark purplish brown/greenish 15-50cm 69","G"
233,"Aquilegia vulgaris","blue 30-90cm 15 147","G"
234,"Aquilegia vulgaris","double purple w/white edge 60cm 113","G"
235,"Aquilegia vulgaris","mix 30-90cm 15","G"
236,"Aquilegia vulgaris","pink 30-90cm 147","G"
237,"Aquilegia vulgaris","white/purple 30-90cm 15","G"
238,"Aquilegia vulgaris","white/short spurs 50-60cm 147","G"
239,"Aquilegia vulgaris 'Nivea'","pure white to 90cm 113","G"
241,"Aquilegia vulgaris v stellata 'Green Apples'","double green-white 45-60cm 113","G"
242,"Aquilegia vulgaris v stellata 'Nora Barlow'","rose pink/cream-pale green 60-90cm 181","G"
240,"Aquilegia vulgaris v stellata Barlow Series","mix 60-75cm 15","G"
251,"Arisaema consanguineum","green/purple-brown 90-180cm 91","G"
252,"Arisaema consanguineum 'Perfect Wave'","bluish lvs w/silver center 40-120cm 5","G"
253,"Arisaema dracontium","green to 130cm 91 115","G"
254,"Arisaema flavum","yellow 30-75cm 82 159","G"
255,"Arisaema flavum ssp abbreviatum (hort)","yellow to 70cm 159","G"
256,"Arisaema heterophyllum","yellow green-purple tinged to 100cm 21 90 115","G"
257,"Arisaema triphyllum","green/purple w/white stripes 60-90cm 82 165","G"
3034,"Arisaema triphyllum","20-30cm Massachusetts: Granby, Hampshire Co 48","W"
3035,"Arisaema triphyllum","green 25cm New Jersey: Morristown 91m 21","W"
274,"Arthropodium candidum 'Purpureum'","white flr/purple-bronze lvs 10-30cm 175","G"
275,"Arum apulum","red-brown 20cm 65","G"
276,"Arum concinnatum","pale green/purple edge 20-45cm 65","G"
277,"Arum italicum","cream-light green flr/red frt 30-45cm 21 159 165","G"
278,"Arum sp","green w/red cast 30cm 65","G"
